75,0.063,0.024,1.718
76,0.063,0.019,1.738
77,0.062,0.018,1.756
78,0.065,0.018,1.773
79,0.063,0.018,1.792
80,0.062,0.019,1.810
81,0.061,0.024,1.834
82,0.061,0.021,1.855
83,0.061,0.023,1.878
84,0.062,0.021,1.899
85,0.063,0.019,1.918
86,0.061,0.018,1.936
87,0.061,0.019,1.955
88,0.060,0.019,1.975
89,0.064,0.022,1.997
90,0.062,0.019,2.015
91,0.063,0.019,2.034
92,0.065,0.019,2.054
93,0.062,0.018,2.072
94,0.064,0.019,2.091
95,0.063,0.018,2.109
96,0.065,0.019,2.128
97,0.063,0.018,2.146
98,0.063,0.018,2.164
99,0.062,0.019,2.183
100,0.063,0.019,2.202
101,0.067,0.018,2.220
102,0.067,0.018,2.238
103,0.062,0.019,2.257
104,0.064,0.019,2.277
105,0.065,0.019,2.296
106,0.066,0.019,2.314
107,0.062,0.018,2.333
108,0.064,0.018,2.350
109,0.062,0.017,2.368
110,0.067,0.020,2.388
111,0.061,0.020,2.408
112,0.066,0.018,2.426
113,0.063,0.018,2.443
114,0.062,0.019,2.462
115,0.063,0.018,2.481
116,0.063,0.018,2.499
117,0.064,0.019,2.517
118,0.064,0.017,2.535
119,0.064,0.018,2.553
120,0.062,0.018,2.570
121,0.064,0.018,2.588
122,0.067,0.019,2.607
123,0.065,0.018,2.626
124,0.064,0.017,2.643
125,0.063,0.018,2.661
126,0.066,0.017,2.679
127,0.065,0.019,2.698
128,0.066,0.020,2.718
129,0.063,0.018,2.736
130,0.067,0.018,2.753
131,0.068,0.018,2.772
132,0.068,0.022,2.794
133,0.066,0.018,2.812
134,0.066,0.018,2.829
135,0.065,0.019,2.849
136,0.069,0.018,2.867
137,0.065,0.024,2.890
138,0.066,0.018,2.908
139,0.066,0.019,2.927
140,0.067,0.018,2.944
141,0.068,0.018,2.963
142,0.065,0.018,2.981
143,0.064,0.018,3.000
144,0.067,0.018,3.017
145,0.066,0.018,3.036
146,0.067,0.018,3.054
147,0.066,0.018,3.072
148,0.068,0.018,3.090
